molecule,peak_value,unit,rel_intensity,source
kaempferol,109.2,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,141.1,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,193.7,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,207.9,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,213.7,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,242.9,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,267.4,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,282.8,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,304.4,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,342.0,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,355.8,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,372.0,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,385.9,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,390.3,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,406.4,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,434.6,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,444.0,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,456.0,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,483.4,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,495.6,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,538.7,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,567.8,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,569.1,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,591.0,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,601.1,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,607.5,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,616.1,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,633.1,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,655.9,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,668.3,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,684.5,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,703.6,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,720.4,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,788.2,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,806.2,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,812.5,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,819.8,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,855.1,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,861.4,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,889.7,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,903.3,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,916.9,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,977.4,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,1015.5,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,1028.1,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,1089.2,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,1121.1,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,1124.7,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,1131.2,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,1145.4,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,1165.0,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,1184.5,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,1198.0,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,1206.4,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
kaempferol,1232.0,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
